,Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
0,auto_cot,deepseek-14b,bitter frustration,0.15994741454864153,0.741869918699187,0.741869918699187,0.2631578947368421,492.0,2282.0,1917.0,127.0,0.0
1,auto_cot,deepseek-14b,impatience,0.21428571428571427,0.03383458646616541,0.03383458646616541,0.05844155844155844,266.0,42.0,33.0,257.0,0.0
2,auto_cot,deepseek-14b,mocking,0.205607476635514,0.125,0.125,0.15547703180212014,176.0,107.0,85.0,154.0,0.0
3,auto_cot,deepseek-14b,irony,0.0,0.0,0.0,0.0,64.0,2.0,2.0,64.0,0.0
4,auto_cot,deepseek-14b,vulgarity,0.42857142857142855,0.04225352112676056,0.04225352112676056,0.07692307692307693,71.0,7.0,4.0,68.0,0.0
5,auto_cot,deepseek-14b,threat,0.6,0.5217391304347826,0.5217391304347826,0.5581395348837209,23.0,20.0,8.0,11.0,0.0
6,auto_cot,deepseek-14b,identify attack/name calling,0.0,0.0,0.0,0.0,28.0,1.0,1.0,28.0,0.0
7,auto_cot,deepseek-14b,none,0.8846153846153846,0.6685156423341468,0.6685156423341468,0.7615316567673449,4507.0,3406.0,393.0,1494.0,0.0
8,auto_cot,deepseek-14b,entitlement,0.0,0.0,0.0,0.0,70.0,4.0,4.0,70.0,0.0
9,auto_cot,deepseek-14b,insulting,0.0,0.0,0.0,0.0,174.0,0.0,0.0,174.0,0.0
10,auto_cot,deepseek-8b,bitter frustration,0.24043715846994534,0.35772357723577236,0.35772357723577236,0.2875816993464052,492.0,732.0,556.0,316.0,0.0
11,auto_cot,deepseek-8b,impatience,0.05143338954468803,0.6879699248120301,0.6879699248120301,0.09571129707112971,266.0,3558.0,3375.0,83.0,0.0
12,auto_cot,deepseek-8b,mocking,0.1879432624113475,0.30113636363636365,0.30113636363636365,0.2314410480349345,176.0,282.0,229.0,123.0,0.0
13,auto_cot,deepseek-8b,irony,0.01834862385321101,0.03125,0.03125,0.023121387283236993,64.0,109.0,107.0,62.0,0.0
14,auto_cot,deepseek-8b,vulgarity,0.3333333333333333,0.014084507042253521,0.014084507042253521,0.02702702702702703,71.0,3.0,2.0,70.0,0.0
15,auto_cot,deepseek-8b,threat,0.625,0.21739130434782608,0.21739130434782608,0.3225806451612903,23.0,8.0,3.0,18.0,0.0
16,auto_cot,deepseek-8b,identify attack/name calling,0.0,0.0,0.0,0.0,28.0,3.0,3.0,28.0,0.0
17,auto_cot,deepseek-8b,none,0.897172236503856,0.23230530286221435,0.23230530286221435,0.36905181529784986,4507.0,1167.0,120.0,3460.0,0.0
18,auto_cot,deepseek-8b,entitlement,0.0,0.0,0.0,0.0,70.0,3.0,3.0,70.0,0.0
19,auto_cot,deepseek-8b,insulting,0.16666666666666666,0.005747126436781609,0.005747126436781609,0.011111111111111112,174.0,6.0,5.0,173.0,0.0
20,auto_cot,gemma2_9b,bitter frustration,0.19592088998763907,0.6443089430894309,0.6443089430894309,0.3004739336492891,492.0,1618.0,1301.0,175.0,0.0
21,auto_cot,gemma2_9b,impatience,0.05031779661016949,0.35714285714285715,0.35714285714285715,0.0882079851439183,266.0,1888.0,1793.0,171.0,0.0
22,auto_cot,gemma2_9b,mocking,0.24352331606217617,0.26704545454545453,0.26704545454545453,0.25474254742547425,176.0,193.0,146.0,129.0,0.0
